UniqueID,Course,Title,Edition,Year,Author,ISBN,Alternate ISBNs,MMS ID,Call number,Barcode,Current Status,New/Returning/Past Semester,UMCP copy?,Notes,Comment,Branch Location
TopTextFall24.35,MATH 310,A Transition to Advanced Mathematics,8th,2014,"Smith, Douglas; Eggen, Maurice; St. Andre, Richard",9781285463261,,990063476620108238,MATH310/Transition to Advanced Mathematics,31430060847813,On Shelf,,N,,,CPMCK
TopTextFall24.36,MUSC 205,"Switched On Pop: How Popular Music Works, and Why it Matters",Illustrated,2019,"Sloan, Nate; Harding, Charlie",9780190056650,,990063476620108238,MUSC205/Switched On Pop,31430060875939,On Shelf,,N,,,CPMCK
TopTextFall24.37,NEUR 305,Cognitive Neuroscience: The Biology of the Mind,5th,2018,"Gazzaniga, Michael; Ivry, Richard; Mangun, George",9780393603170,,990063476620108238,NEUR305/Cognitive Neuroscience,31430060876036,On Shelf,,N,,,CPMCK
TopTextFall24.38,NEUR 305,Cognitive Neuroscience: The Biology of the Mind,5th,2018,"Gazzaniga, Michael; Ivry, Richard; Mangun, George",9780393603170,,990063476620108238,NEUR305/Cognitive Neuroscience (copy 2) STEM,31430060876044,On Shelf,,N,,,CPMCK
TopTextFall24.39,NFSC 315,Nutrition Through the Life Cycle,8th,2023,"Brown, Judith",9780357730423,,990063476620108238,NFSC315/Nutrition Through the Life Cycle,31430060493238,On Shelf,,N,,,CPMCK
TopTextFall24.40,PHYS 401,Quantum Mechanics,,2023,David H. Mcintyre,9781009310611,"9780321765796, 9781009310598",990063476620108238,PHYS401/Quantum Mechanics STEM,31430060493220,On Shelf,,N,STEM,This item is available at the STEM Library.,CPENG
TopTextFall24.41,PHYS 402,Quantum Mechanics,,2023,David H. Mcintyre,9781009310611,"9780321765796, 9781009310598",990063476620108238,PHYS401/Quantum Mechanics STEM,31430060493220,On Shelf,,N,STEM,This item is available at the STEM Library.,CPENG
TopTextFall24.42,PHYS 404,Fundamentals of Statistical and Thermal Physics,,1965,"Reif, Frederick",9781577666127,,990063476620108238,PHYS404/Fundamentals of Statistical and Thermal Physics,31430030234753,On Shelf,,Y,,,CPMCK
TopTextFall24.43,PLCY 201,Introducing Public Administration,10th,2022,"Shafritz, Jay; Russell, E.; Borick, Christopher; Hyde, Albert",9781032042893,,990063476620108238,PLCY201/Introducing Public Administration,31430060875988,On Shelf,,N,,,CPMCK
TopTextFall24.44,PLCY 201,Understanding Public Leadership,,2014,"Hart, Paul 'T",9780230205536,,990063476620108238,PLCY201/Understanding Public Leadership,31430058118185,On Shelf,,Y,,,CPMCK
